species,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,chroma,spectral_contrast,spectral_bandwidth,spectral_centroid,spectral_rolloff,zero_crossing_rate,rmse,tempo
common_dolphin,-0.9610081,-0.89538926,-0.7368578,-0.7745837569236755,-0.770171046257019,-0.4380795359611511,-0.40608248114585876,-0.6220356225967407,-0.5298689007759094,-0.34870851039886475,-0.4044590890407562,-0.5354037880897522,-0.6346184015274048,-0.8465789556503296,-1.197502613067627,-1.3506755828857422,-1.184343695640564,-0.889409065246582,-0.6532548666000366,-0.7820930480957031,-1.0374513864517212,-0.8108822107315063,-0.7206560373306274,-0.7388129234313965,-0.5753899216651917,-0.5664640069007874,-0.6098262071609497,-0.76728355884552,-0.6914063692092896,-0.457052618265152,-0.5246433615684509,-0.5653285980224609,-0.5856857895851135,-0.6085421442985535,-0.46244850754737854,-0.7321200370788574,-0.8166634440422058,-0.4055140018463135,-0.4999261796474457,-0.589536726474762,0.50527066,0.7070074112054833,0.8118946512020738,0.347831470699144,0.7078919127294776,0.20117472267865993,0.119815044,0.42857142857142855
common_dolphin,-1.9951522,-1.4907488,-1.4910598,-1.452167272567749,-1.1103674173355103,-1.0741666555404663,-1.5663340091705322,-1.8601824045181274,-1.7054693698883057,-1.9376084804534912,-2.116495370864868,-1.9539775848388672,-1.6548235416412354,-1.6966993808746338,-1.7423603534698486,-2.0168445110321045,-1.9857286214828491,-1.9293797016143799,-1.956573724746704,-2.570079803466797,-2.000620126724243,-1.6551172733306885,-1.7990602254867554,-1.9418216943740845,-1.8321558237075806,-1.7359800338745117,-2.0698351860046387,-2.4150378704071045,-2.288682460784912,-2.0298478603363037,-2.0270400047302246,-2.384167432785034,-2.0414280891418457,-1.7173808813095093,-1.943015456199646,-2.4606823921203613,-2.3301477432250977,-1.905114769935608,-1.3459864854812622,-1.630541205406189,0.74496067,0.6464002511481415,0.7875721315417687,0.7266647724076244,0.9117261182212759,0.46140074471540327,0.1729157,0.5294117647058824
common_dolphin,-2.149139,-1.4173156,-1.5851914,-1.5442454814910889,-1.1212749481201172,-0.8434619903564453,-0.8023780584335327,-0.9731594324111938,-1.3764692544937134,-0.422926127910614,0.7097004652023315,0.6942300796508789,-0.15344426035881042,0.3344479501247406,0.5309759378433228,-0.3506031632423401,-0.5641318559646606,-0.5864458084106445,-0.9084474444389343,-0.8303346633911133,-0.9904683828353882,-1.2931405305862427,-0.8150235414505005,-0.906150221824646,-1.0970265865325928,-1.462024211883545,-0.9745925664901733,-0.8008392453193665,-1.436997413635254,-1.1302034854888916,-0.8568217158317566,-1.2425886392593384,-1.5693233013153076,-1.3429548740386963,-1.4775420427322388,-1.703573226928711,-1.6860551834106445,-1.4863542318344116,-1.8647992610931396,-1.8127338886260986,0.7954014,0.6590142724493784,0.8532852365390196,0.5899236654863279,0.8730397194187327,0.28976171762438846,0.08013969,0.5
common_dolphin,-2.266188,-1.387011,-1.3543402,-1.216321349143982,-1.1422582864761353,-1.318738341331482,-1.5104166269302368,-1.5614240169525146,-1.500439167022705,-1.522935152053833,-1.276957392692566,-1.4363281726837158,-1.511803388595581,-1.6822669506072998,-2.016714572906494,-1.7724326848983765,-1.7873189449310303,-1.7958357334136963,-1.7858047485351562,-1.583069086074829,-1.2538230419158936,-1.1292215585708618,-1.6036653518676758,-1.2032686471939087,-0.9389716982841492,-1.2735068798065186,-1.4949802160263062,-1.63311767578125,-1.7132184505462646,-2.0454869270324707,-1.7631080150604248,-1.6111583709716797,-1.7957124710083008,-1.971685767173767,-2.1933488845825195,-2.048295259475708,-1.958589792251587,-2.293531656265259,-2.509340763092041,-2.1790623664855957,0.5268077,0.6873411709236562,0.7743361881630588,0.3602848870277936,0.6659483412753816,0.14077931929349782,0.059432413,0.5625
common_dolphin,-2.1285095,-1.1641662,-0.5723025,-0.805586040019989,-1.6613805294036865,-1.7227901220321655,-2.1293153762817383,-1.6808321475982666,-1.7448387145996094,-1.7225252389907837,-1.508105993270874,-1.5891244411468506,-2.0653810501098633,-1.9832286834716797,-1.845223069190979,-1.3046307563781738,-1.1307077407836914,-1.1418319940567017,-1.1918730735778809,-0.8081313967704773,-0.7383620142936707,-1.3329373598098755,-1.3333849906921387,-1.7794691324234009,-2.022644519805908,-2.1127936840057373,-1.9256181716918945,-1.983036994934082,-1.6368099451065063,-1.7183443307876587,-2.1472525596618652,-2.1974639892578125,-1.9235897064208984,-1.7044286727905273,-2.084780216217041,-2.1296005249023438,-1.9976365566253662,-1.5391106605529785,-1.5969161987304688,-1.3323768377304077,0.8946179,0.610027289016723,0.8240596038407887,0.5768314136666535,0.8538980313331064,0.2503642974954597,0.049026743,0.42857142857142855
common_dolphin,-2.0268369,-1.2161357,-1.4389701,-1.4486024379730225,-1.010504126548767,-1.054785132408142,-1.0062305927276611,-1.1753718852996826,-1.3010363578796387,-1.2936599254608154,-1.796059250831604,-2.1010525226593018,-2.1694259643554688,-1.8495872020721436,-1.4242546558380127,-1.2579549551010132,-1.3944642543792725,-2.228482246398926,-2.37732195854187,-1.7415084838867188,-1.619451880455017,-1.549210548400879,-1.6626861095428467,-1.1925309896469116,-1.000836968421936,-0.9502108693122864,-1.016396403312683,-1.216606855392456,-1.4486602544784546,-2.2179770469665527,-1.7726542949676514,-0.9595714807510376,-0.5735905766487122,-0.444676011800766,-0.7717317342758179,-1.672595739364624,-1.8958638906478882,-1.6975195407867432,-1.3500080108642578,-1.6067273616790771,0.7647432,0.6615580826563454,0.8488326773741147,0.5506570748957692,0.8336407366653124,0.3268116652979063,0.06913217,0.4736842105263158
common_dolphin,-0.90720713,-0.44186324,-0.5494745,-0.4644750654697418,-0.29584065079689026,-0.531682014465332,-0.918316662311554,-0.7275568246841431,-0.6572170257568359,-0.4634585976600647,-0.2576309144496918,-0.2801252007484436,-0.5087195038795471,-1.1180294752120972,-1.0420650243759155,-0.7625236511230469,-0.8773161172866821,-1.4234328269958496,-1.8793537616729736,-2.03605318069458,-2.0807929039001465,-1.5023654699325562,-1.3301098346710205,-1.2534581422805786,-0.9506255984306335,-1.124171495437622,-1.672906517982483,-2.3982737064361572,-1.9517749547958374,-1.8947744369506836,-1.7412277460098267,-1.6574561595916748,-1.364956259727478,-2.0772881507873535,-1.7776126861572266,-1.6387239694595337,-2.2834649085998535,-2.2865662574768066,-1.993341088294983,-1.92643141746521,0.64254344,0.7010043640596938,0.7866923156254191,0.5742369519957541,0.7873422400841701,0.44772181429131097,0.120581016,0.375
common_dolphin,-2.7481992,-2.254398,-1.770696,-1.5884228944778442,-1.688737154006958,-2.089733600616455,-1.961692214012146,-1.5312931537628174,-1.1961021423339844,-1.4853832721710205,-1.2172882556915283,-1.035140037536621,-1.7106873989105225,-2.525662422180176,-2.0530858039855957,-2.1073849201202393,-1.8735792636871338,-1.5125058889389038,-1.5259878635406494,-1.6693989038467407,-1.6757882833480835,-1.7160863876342773,-1.7239116430282593,-1.8114312887191772,-1.828547477722168,-1.9697999954223633,-1.9937795400619507,-2.2343592643737793,-1.7657527923583984,-2.1577820777893066,-2.3290669918060303,-2.0559639930725098,-2.1031994819641113,-1.8195825815200806,-1.6368014812469482,-1.8650716543197632,-2.0354161262512207,-1.9060542583465576,-1.850773572921753,-2.076777935028076,0.781146,0.6106017811125731,0.8382769524658565,0.5914936331847849,0.8576663190240432,0.29367571762499817,0.056865145,0.5625
common_dolphin,-0.59920347,-0.21680717,-0.07376127,-0.050664305686950684,-0.06798503547906876,0.03521467000246048,-0.03813307732343674,-0.33743685483932495,-0.19337491691112518,-0.3157726228237152,-0.4096567630767822,-0.14277461171150208,-0.15209396183490753,-0.09295447915792465,-0.0006262898677960038,-0.032637737691402435,-0.05527759715914726,-0.1536587029695511,-0.05812579393386841,0.043706513941287994,-0.12312020361423492,-0.2252180129289627,-0.39613762497901917,-0.341549277305603,-0.48865827918052673,-0.4243813157081604,-0.3010996878147125,-0.17913424968719482,-0.32864946126937866,-0.4476763606071472,-0.5593386292457581,-0.4551219344139099,-0.32956984639167786,-0.41353505849838257,-0.12435795366764069,0.05405168980360031,-0.21001334488391876,-0.38027888536453247,-0.31772810220718384,-0.3721921145915985,0.46217176,0.7002335626144327,0.7472049577307164,0.27354424564487306,0.5891539444295117,0.09442941044296527,0.18041609,0.42857142857142855
common_dolphin,-2.7041068,-1.9902474,-1.8891166,-1.5965018272399902,-1.5091032981872559,-1.5154131650924683,-1.7912861108779907,-1.8204259872436523,-1.6171470880508423,-1.737235426902771,-1.502698540687561,-1.6300125122070312,-1.4293620586395264,-1.509462594985962,-1.747818946838379,-2.219334125518799,-2.072436809539795,-1.7404956817626953,-1.6793473958969116,-1.4201487302780151,-1.576198935508728,-1.9067649841308594,-2.195110559463501,-2.389646053314209,-2.16532564163208,-2.3106706142425537,-2.220674753189087,-2.2992396354675293,-2.358834743499756,-2.055075168609619,-2.0101265907287598,-1.9122142791748047,-2.2278213500976562,-1.817495346069336,-1.2759833335876465,-1.8428306579589844,-2.1264209747314453,-1.7444734573364258,-1.7912189960479736,-1.8594392538070679,0.69001144,0.6547850470841022,0.790224428331935,0.5806465235863374,0.7989776259636904,0.3681087028114348,0.07253225,0.45
