species,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
common_dolphin,-4.0981255,-3.9691148,-3.650619,-3.6139183044433594,-3.5067031383514404,-3.111865520477295,-2.9979794025421143,-3.148275852203369,-3.0016098022460938,-2.7297158241271973,-2.7099862098693848,-2.8505468368530273,-2.9348015785217285,-3.1064820289611816,-3.4451842308044434,-3.5661895275115967,-3.3537533283233643,-3.0367093086242676,-2.799999713897705,-2.9495787620544434,-3.203138828277588,-2.954969644546509,-2.8053228855133057,-2.8294429779052734,-2.6555166244506836,-2.6383838653564453,-2.702518939971924,-2.8696093559265137,-2.796572208404541,-2.542080879211426,-2.6100656986236572,-2.6849117279052734,-2.7840046882629395,-2.8970589637756348,-2.6717638969421387,-2.9551186561584473,-3.0723960399627686,-2.6809511184692383,-2.8208041191101074,-2.9337704181671143
common_dolphin,-4.88574,-4.3388796,-4.237348,-4.0783586502075195,-3.6507041454315186,-3.540891647338867,-3.981701374053955,-4.1756157875061035,-3.981750965118408,-4.1745524406433105,-4.31762170791626,-4.1255364418029785,-3.8559908866882324,-3.873276472091675,-3.867284059524536,-4.144190788269043,-4.1588239669799805,-4.155904769897461,-4.196667671203613,-4.836673736572266,-4.366721153259277,-3.9906647205352783,-4.084115982055664,-4.281769752502441,-4.321801662445068,-4.199389457702637,-4.595698833465576,-4.9254302978515625,-4.758875846862793,-4.551610946655273,-4.5944671630859375,-4.950293064117432,-4.627629280090332,-4.326780796051025,-4.542666435241699,-5.018613815307617,-4.8960113525390625,-4.521113872528076,-3.9381988048553467,-4.203005790710449
common_dolphin,-4.667309,-3.89752,-3.956142,-3.815244197845459,-3.2369494438171387,-2.8760879039764404,-2.74186635017395,-2.812042713165283,-3.1260311603546143,-2.045924186706543,-0.8821579813957214,-0.8897862434387207,-1.6853224039077759,-1.1541121006011963,-0.9584914445877075,-1.8521442413330078,-2.1278445720672607,-2.1562960147857666,-2.461092472076416,-2.4249892234802246,-2.6052896976470947,-2.96553635597229,-2.5654003620147705,-2.70060133934021,-2.965465545654297,-3.394596815109253,-3.010920286178589,-2.864685535430908,-3.622211456298828,-3.4195168018341064,-3.224655866622925,-3.6777310371398926,-4.149355888366699,-4.036288261413574,-4.270293712615967,-4.592317581176758,-4.761012554168701,-4.6419901847839355,-5.1134161949157715,-5.250094890594482
common_dolphin,-5.3902397,-4.4572678,-4.319776,-4.097864627838135,-3.9525959491729736,-4.0283331871032715,-4.16792106628418,-4.183225631713867,-4.069066524505615,-4.0344648361206055,-3.7814993858337402,-3.941551685333252,-3.958535671234131,-4.073624610900879,-4.3596978187561035,-4.076904773712158,-4.051072120666504,-4.077740669250488,-4.119004249572754,-3.922227144241333,-3.6044745445251465,-3.485562562942505,-3.9298903942108154,-3.5661118030548096,-3.3266100883483887,-3.6246063709259033,-3.8371059894561768,-3.917349338531494,-4.034636497497559,-4.415390491485596,-4.243592739105225,-4.111127853393555,-4.2919020652771,-4.371584892272949,-4.56206750869751,-4.670395374298096,-4.553025245666504,-4.882297039031982,-5.288018226623535,-5.120839595794678
common_dolphin,-5.408676,-4.296211,-3.6402867,-3.7982583045959473,-4.515246391296387,-4.514941692352295,-4.812734603881836,-4.286154747009277,-4.309544086456299,-4.217605113983154,-3.9494831562042236,-4.003047943115234,-4.412461280822754,-4.278553485870361,-4.122920989990234,-3.574507236480713,-3.372863292694092,-3.368799924850464,-3.4347457885742188,-3.095989465713501,-3.0226242542266846,-3.614586353302002,-3.631289005279541,-4.073843955993652,-4.379608154296875,-4.4976348876953125,-4.320901870727539,-4.420866012573242,-4.081430912017822,-4.13918399810791,-4.6001081466674805,-4.591902256011963,-4.3855695724487305,-4.223177909851074,-4.614494323730469,-4.7313947677612305,-4.733100891113281,-4.275097846984863,-4.38828706741333,-4.20649528503418
common_dolphin,-4.7009144,-3.8748977,-4.0364785,-3.8752951622009277,-3.4054107666015625,-3.394979476928711,-3.280480146408081,-3.4489715099334717,-3.535521984100342,-3.527872085571289,-4.015389919281006,-4.294307708740234,-4.330092430114746,-4.021322727203369,-3.6015267372131348,-3.418300151824951,-3.5522408485412598,-4.343277454376221,-4.4466142654418945,-3.8128063678741455,-3.673386335372925,-3.5887863636016846,-3.670884609222412,-3.2032904624938965,-2.987484931945801,-2.9084177017211914,-2.956019401550293,-3.1590614318847656,-3.389634609222412,-4.150395393371582,-3.709339141845703,-2.9051990509033203,-2.5280165672302246,-2.39943528175354,-2.738330602645874,-3.6421103477478027,-3.883108615875244,-3.7971572875976562,-3.5034842491149902,-3.7595958709716797
common_dolphin,-2.9155252,-2.4919162,-2.557979,-2.3499033451080322,-2.1176846027374268,-2.3250012397766113,-2.6530869007110596,-2.4162681102752686,-2.3067381381988525,-2.12257981300354,-1.9341195821762085,-1.9392439126968384,-2.1587817668914795,-2.8072421550750732,-2.800217628479004,-2.52616286277771,-2.6488780975341797,-3.2458736896514893,-3.7213008403778076,-3.9342989921569824,-4.071408271789551,-3.593458890914917,-3.4834556579589844,-3.4905471801757812,-3.2281601428985596,-3.4370779991149902,-4.045119285583496,-4.838357925415039,-4.487847328186035,-4.5373334884643555,-4.400634288787842,-4.361111640930176,-4.15506649017334,-4.848005771636963,-4.6164116859436035,-4.478833198547363,-5.253119945526123,-5.320227146148682,-5.210047721862793,-5.1701202392578125
common_dolphin,-6.068046,-5.4718823,-4.827695,-4.54892635345459,-4.554780006408691,-4.8634796142578125,-4.597960472106934,-4.12608528137207,-3.7891268730163574,-4.0543413162231445,-3.6952297687530518,-3.4791934490203857,-4.146366596221924,-4.888260841369629,-4.399352073669434,-4.468464374542236,-4.2909321784973145,-3.930781126022339,-3.9488391876220703,-4.081894874572754,-4.035679340362549,-4.152815818786621,-4.189108371734619,-4.260476589202881,-4.31468391418457,-4.5145792961120605,-4.517677307128906,-4.816369533538818,-4.428613662719727,-4.820647239685059,-4.837128639221191,-4.578326225280762,-4.6449432373046875,-4.327881813049316,-4.104262351989746,-4.380641460418701,-4.586926460266113,-4.439120292663574,-4.406081676483154,-4.631070137023926
common_dolphin,-3.3744252,-2.9584582,-2.7375023,-2.6593899726867676,-2.576538562774658,-2.4215152263641357,-2.420769214630127,-2.6593449115753174,-2.4648327827453613,-2.5773117542266846,-2.643789529800415,-2.356933355331421,-2.364943027496338,-2.3617141246795654,-2.2741925716400146,-2.2962851524353027,-2.3417928218841553,-2.4451870918273926,-2.3621997833251953,-2.2795205116271973,-2.4937424659729004,-2.6313705444335938,-2.8319616317749023,-2.746124029159546,-2.900503158569336,-2.853571891784668,-2.736405849456787,-2.5971124172210693,-2.756967067718506,-2.8890368938446045,-3.0219483375549316,-2.891549825668335,-2.739647150039673,-2.8229377269744873,-2.531273603439331,-2.344538450241089,-2.5819942951202393,-2.739755630493164,-2.626478910446167,-2.6399483680725098
common_dolphin,-5.8199387,-5.0442348,-4.8040004,-4.362961769104004,-4.185027599334717,-4.089392185211182,-4.268905162811279,-4.271720886230469,-4.088962554931641,-4.175417423248291,-3.898411512374878,-4.003247261047363,-3.8170204162597656,-3.8959059715270996,-4.132178783416748,-4.630344867706299,-4.504754066467285,-4.193881034851074,-4.16537618637085,-3.937204360961914,-4.121398448944092,-4.506246089935303,-4.836339950561523,-5.108890056610107,-4.902329921722412,-5.093512535095215,-5.057056903839111,-5.141360282897949,-5.240477085113525,-4.946183204650879,-4.934216499328613,-4.856531143188477,-5.156539440155029,-4.725280284881592,-4.218533515930176,-4.78666353225708,-5.060849666595459,-4.609146595001221,-4.668685436248779,-4.7955451011657715
