First Whale,Second Whale,Training Accuracy,Test Accuracy,Difference
beluga_white_whale,bowhead_whale,1.0,0.7727272727272727,0.2272727272727273
beluga_white_whale,false_killer_whale,1.0,1.0,0.0
beluga_white_whale,fin_finback_whale,1.0,0.9444444444444444,0.05555555555555558
beluga_white_whale,humpback_whale,1.0,0.65,0.35
beluga_white_whale,killer_whale,1.0,0.7647058823529411,0.23529411764705888
beluga_white_whale,longfinned_pilot_whale,1.0,0.7083333333333334,0.29166666666666663
beluga_white_whale,melon_headed_whale,1.0,0.6956521739130435,0.30434782608695654
beluga_white_whale,narwhal,1.0,0.9,0.09999999999999998
beluga_white_whale,northern_right_whale,1.0,0.7619047619047619,0.23809523809523814
beluga_white_whale,shortfinned_pacific_pilot_whale,1.0,0.6666666666666666,0.33333333333333337
beluga_white_whale,sperm_whale,1.0,0.76,0.24
bowhead_whale,beluga_white_whale,1.0,0.8636363636363636,0.13636363636363635
bowhead_whale,false_killer_whale,1.0,0.9166666666666666,0.08333333333333337
bowhead_whale,fin_finback_whale,1.0,0.85,0.15000000000000002
bowhead_whale,humpback_whale,1.0,1.0,0.0
bowhead_whale,killer_whale,1.0,0.8947368421052632,0.10526315789473684
bowhead_whale,longfinned_pilot_whale,1.0,0.8076923076923077,0.1923076923076923
bowhead_whale,melon_headed_whale,1.0,0.88,0.12
bowhead_whale,narwhal,1.0,0.9090909090909091,0.09090909090909094
bowhead_whale,northern_right_whale,1.0,0.8695652173913043,0.13043478260869568
bowhead_whale,shortfinned_pacific_pilot_whale,1.0,0.8076923076923077,0.1923076923076923
bowhead_whale,sperm_whale,1.0,0.7777777777777778,0.2222222222222222
false_killer_whale,beluga_white_whale,1.0,1.0,0.0
false_killer_whale,bowhead_whale,1.0,0.9166666666666666,0.08333333333333337
false_killer_whale,fin_finback_whale,1.0,1.0,0.0
false_killer_whale,humpback_whale,1.0,0.9090909090909091,0.09090909090909094
false_killer_whale,killer_whale,1.0,0.8947368421052632,0.10526315789473684
false_killer_whale,longfinned_pilot_whale,1.0,1.0,0.0
false_killer_whale,melon_headed_whale,1.0,1.0,0.0
false_killer_whale,narwhal,1.0,0.9545454545454546,0.045454545454545414
false_killer_whale,northern_right_whale,1.0,1.0,0.0
false_killer_whale,shortfinned_pacific_pilot_whale,1.0,0.9615384615384616,0.038461538461538436
false_killer_whale,sperm_whale,1.0,1.0,0.0
fin_finback_whale,beluga_white_whale,1.0,1.0,0.0
fin_finback_whale,bowhead_whale,1.0,0.9,0.09999999999999998
fin_finback_whale,false_killer_whale,1.0,0.95,0.050000000000000044
fin_finback_whale,humpback_whale,1.0,1.0,0.0
fin_finback_whale,killer_whale,1.0,0.9333333333333333,0.06666666666666665
fin_finback_whale,longfinned_pilot_whale,1.0,1.0,0.0
fin_finback_whale,melon_headed_whale,1.0,1.0,0.0
fin_finback_whale,narwhal,1.0,1.0,0.0
fin_finback_whale,northern_right_whale,1.0,0.8947368421052632,0.10526315789473684
fin_finback_whale,shortfinned_pacific_pilot_whale,1.0,0.9090909090909091,0.09090909090909094
fin_finback_whale,sperm_whale,1.0,1.0,0.0
humpback_whale,beluga_white_whale,1.0,0.8,0.19999999999999996
humpback_whale,bowhead_whale,1.0,0.9090909090909091,0.09090909090909094
humpback_whale,false_killer_whale,1.0,1.0,0.0
humpback_whale,fin_finback_whale,1.0,0.9444444444444444,0.05555555555555558
humpback_whale,killer_whale,1.0,0.8823529411764706,0.11764705882352944
humpback_whale,longfinned_pilot_whale,1.0,0.625,0.375
humpback_whale,melon_headed_whale,1.0,0.9130434782608695,0.08695652173913049
humpback_whale,narwhal,1.0,0.75,0.25
humpback_whale,northern_right_whale,1.0,0.7619047619047619,0.23809523809523814
humpback_whale,shortfinned_pacific_pilot_whale,1.0,0.875,0.125
humpback_whale,sperm_whale,1.0,0.72,0.28
killer_whale,beluga_white_whale,1.0,0.8823529411764706,0.11764705882352944
killer_whale,bowhead_whale,1.0,0.7368421052631579,0.26315789473684215
killer_whale,false_killer_whale,1.0,0.8421052631578947,0.1578947368421053
killer_whale,fin_finback_whale,1.0,0.7333333333333333,0.2666666666666667
killer_whale,humpback_whale,1.0,0.7647058823529411,0.23529411764705888
killer_whale,longfinned_pilot_whale,1.0,0.7619047619047619,0.23809523809523814
killer_whale,melon_headed_whale,1.0,0.95,0.050000000000000044
killer_whale,narwhal,1.0,0.9411764705882353,0.05882352941176472
killer_whale,northern_right_whale,1.0,0.8333333333333334,0.16666666666666663
killer_whale,shortfinned_pacific_pilot_whale,1.0,0.8095238095238095,0.19047619047619047
killer_whale,sperm_whale,1.0,0.8181818181818182,0.18181818181818177
longfinned_pilot_whale,beluga_white_whale,1.0,0.8333333333333334,0.16666666666666663
longfinned_pilot_whale,bowhead_whale,1.0,0.8461538461538461,0.15384615384615385
longfinned_pilot_whale,false_killer_whale,1.0,1.0,0.0
longfinned_pilot_whale,fin_finback_whale,1.0,0.9545454545454546,0.045454545454545414
longfinned_pilot_whale,humpback_whale,1.0,0.7083333333333334,0.29166666666666663
longfinned_pilot_whale,killer_whale,1.0,0.9047619047619048,0.09523809523809523
longfinned_pilot_whale,melon_headed_whale,1.0,0.7407407407407407,0.2592592592592593
longfinned_pilot_whale,narwhal,1.0,0.6666666666666666,0.33333333333333337
longfinned_pilot_whale,northern_right_whale,1.0,0.8,0.19999999999999996
longfinned_pilot_whale,shortfinned_pacific_pilot_whale,1.0,0.8928571428571429,0.1071428571428571
longfinned_pilot_whale,sperm_whale,0.9568965517241379,0.6896551724137931,0.26724137931034475
melon_headed_whale,beluga_white_whale,1.0,0.6956521739130435,0.30434782608695654
melon_headed_whale,bowhead_whale,1.0,0.96,0.040000000000000036
melon_headed_whale,false_killer_whale,1.0,1.0,0.0
melon_headed_whale,fin_finback_whale,1.0,1.0,0.0
melon_headed_whale,humpback_whale,1.0,0.8695652173913043,0.13043478260869568
melon_headed_whale,killer_whale,1.0,0.95,0.050000000000000044
melon_headed_whale,longfinned_pilot_whale,1.0,0.7037037037037037,0.2962962962962963
melon_headed_whale,narwhal,1.0,0.782608695652174,0.21739130434782605
melon_headed_whale,northern_right_whale,1.0,0.8333333333333334,0.16666666666666663
melon_headed_whale,shortfinned_pacific_pilot_whale,1.0,0.9230769230769231,0.07692307692307687
melon_headed_whale,sperm_whale,0.9545454545454546,0.7142857142857143,0.24025974025974028
narwhal,beluga_white_whale,1.0,0.7,0.30000000000000004
narwhal,bowhead_whale,1.0,0.8636363636363636,0.13636363636363635
narwhal,false_killer_whale,1.0,0.9545454545454546,0.045454545454545414
narwhal,fin_finback_whale,1.0,1.0,0.0
narwhal,humpback_whale,1.0,0.9,0.09999999999999998
narwhal,killer_whale,1.0,1.0,0.0
narwhal,longfinned_pilot_whale,1.0,0.625,0.375
narwhal,melon_headed_whale,1.0,0.782608695652174,0.21739130434782605
narwhal,northern_right_whale,1.0,0.8095238095238095,0.19047619047619047
narwhal,shortfinned_pacific_pilot_whale,1.0,0.9583333333333334,0.04166666666666663
narwhal,sperm_whale,1.0,0.72,0.28
northern_right_whale,beluga_white_whale,1.0,0.47619047619047616,0.5238095238095238
